text,sub_intent
What is the fee for computer engineering at Pulchowk,fee
How much does civil engineering cost at NCIT,fee
Tell me the tuition fee for mechanical engineering,fee
What are the charges for BBA at Apex,fee
Fee structure for architecture at Khwopa,fee
How expensive is computer engineering,fee
What is the total cost for 4 years at NCIT,fee
Tell me about scholarship and fee at IOE,fee
What is the semester fee at Thapathali,fee
How much is the admission fee at Himalaya,fee
Fee for MBA at KUSOM,fee
What is the hostel fee at Pulchowk,fee
Exam fee for engineering colleges,fee
What is annual fee at private colleges,fee
Monthly fee at Sagarmatha engineering,fee
Where is Pulchowk Campus located,location
Location of NCIT college,location
Address of Sagarmatha Engineering College,location
Where can I find Thapathali Campus,location
How far is Khwopa from Kathmandu,location
Is there a college in Pokhara,location
Location of NEC college,location
Where is Himalaya College,location
Address of Herald College,location
Which district is Pulchowk in,location
Is NCIT in Balkumari,location
Distance of WRC from Pokhara city,location
How to reach Kathmandu Engineering College,location
Location of engineering colleges in Lalitpur,location
Where is Apex College situated,location
Is there hostel at Pulchowk,hostel
Hostel availability at NCIT,hostel
Does Sagarmatha have hostel facility,hostel
Is hostel available at private colleges,hostel
Tell me about hostel at Thapathali,hostel
Accommodation facilities at engineering colleges,hostel
Is there girls hostel at IOE,hostel
Hostel charges at Himalaya College,hostel
Do they provide hostel at NEC,hostel
Room availability at college hostels,hostel
Is hostel mandatory at WRC,hostel
Hostel facilities for outstation students,hostel
Hostel at Khwopa Engineering,hostel
Is there mess facility at hostel,hostel
Single room hostel at colleges,hostel
How to apply for admission at Pulchowk,admission
Admission process for NCIT,admission
When is the admission deadline,admission
How can I enroll in engineering college,admission
Application process for IOE entrance,admission
Admission dates for engineering 2024,admission
How to get admission in Thapathali,admission
Is there direct admission at private colleges,admission
Entrance exam for engineering admission,admission
Merit based admission at NCIT,admission
Online admission process at colleges,admission
Documents required for admission,admission
Admission fee at engineering colleges,admission
Last date for admission form,admission
How to apply for scholarship admission,admission
What is the rating of Pulchowk Campus,rating
How is NCIT ranked,rating
Rating of computer engineering at IOE,rating
Is Sagarmatha a good college,rating
Reviews of Thapathali Campus,rating
How is the reputation of NEC,rating
Rating of private engineering colleges,rating
Is Himalaya College well rated,rating
What do students say about NCIT,rating
Ranking of engineering colleges in Nepal,rating
Is Khwopa a good engineering college,rating
Reviews of Herald College,rating
How is WRC Pokhara rated,rating
Reputation of KU engineering,rating
Is Apex College highly rated,rating
What courses are offered at Pulchowk,courses
List of programs at NCIT,courses
Does Sagarmatha offer civil engineering,courses
Available branches at Thapathali,courses
Engineering programs at IOE colleges,courses
Is there architecture at Khwopa,courses
Courses available at Himalaya College,courses
Does NEC have mechanical engineering,courses
List of BBA specializations at Apex,courses
What programs does Herald offer,courses
Is computer engineering available at WRC,courses
Syllabus for civil engineering,courses
Course structure for electronics,courses
What subjects are in first year,courses
Elective courses at engineering colleges,courses
What facilities are at Pulchowk,facilities
Lab facilities at NCIT,facilities
Library at Sagarmatha Engineering,facilities
Sports facilities at engineering colleges,facilities
Computer lab at Thapathali,facilities
Infrastructure at private colleges,facilities
Canteen facility at Himalaya,facilities
Does NEC have good labs,facilities
Wifi facility at NCIT,facilities
Parking at engineering colleges,facilities
Reading room at Khwopa,facilities
Gym facility at colleges,facilities
Auditorium at Pulchowk,facilities
Workshop facilities at IOE,facilities
Medical facility at colleges,facilities
What is cutoff for Pulchowk,cutoff
Cutoff rank for computer engineering,cutoff
Minimum marks for NCIT admission,cutoff
Last year cutoff for civil engineering,cutoff
Cutoff for architecture at IOE,cutoff
What rank is needed for Thapathali,cutoff
Cutoff for electrical engineering,cutoff
Minimum score for mechanical engineering,cutoff
Cutoff rank for electronics,cutoff
What percentage needed for admission,cutoff
Cutoff for government colleges,cutoff
Expected cutoff for 2024 admission,cutoff
Cutoff at WRC Pokhara,cutoff
Minimum rank for Khwopa,cutoff
Previous year cutoff trends,cutoff
Scholarship at Pulchowk Campus,scholarship
Is there scholarship at NCIT,scholarship
Scholarship percentage at private colleges,scholarship
Merit scholarship at engineering colleges,scholarship
How to get scholarship at IOE,scholarship
Need based scholarship at colleges,scholarship
Scholarship for girls at engineering,scholarship
100% scholarship at private colleges,scholarship
Scholarship criteria at Himalaya,scholarship
Government scholarship for engineering,scholarship
Scholarship at NEC college,scholarship
Fee waiver at NCIT,scholarship
Scholarship for toppers at IOE,scholarship
Financial aid at engineering colleges,scholarship
Scholarship renewal criteria,scholarship
Internship opportunities at Pulchowk,internship
Is internship mandatory at NCIT,internship
Internship program at IOE colleges,internship
Industrial training at engineering colleges,internship
Internship partners of Sagarmatha,internship
Internship duration at computer engineering,internship
Paid internship at Thapathali,internship
Internship at software companies,internship
Internship for civil engineering students,internship
Are there internship at NEC,internship
Internship opportunities at private colleges,internship
Summer internship at engineering colleges,internship
Internship experience at NCIT,internship
How is internship arranged at IOE,internship
Internship credits at colleges,internship
Placement at Pulchowk Campus,placement
Job placement at NCIT,placement
Campus recruitment at IOE colleges,placement
Average package at engineering colleges,placement
Which companies recruit from Pulchowk,placement
Placement percentage at NCIT,placement
Job prospects after civil engineering,placement
Salary after computer engineering,placement
Placement cell at Sagarmatha,placement
Employment rate at private colleges,placement
Career opportunities after engineering,placement
Highest package at IOE colleges,placement
Placement record of NEC,placement
Jobs after mechanical engineering,placement
Placement assistance at colleges,placement
Eligibility for Pulchowk admission,eligibility
