text,primary_intent
Hello,greeting
Hello!,greeting
Hi there,greeting
Hi there!,greeting
Hey,greeting
Hey!,greeting
Good morning,greeting
Good morning!,greeting
Good afternoon,greeting
Good afternoon!,greeting
Good evening,greeting
Good evening!,greeting
Namaste,greeting
Namaste!,greeting
Greetings,greeting
Greetings!,greeting
Hi,greeting
Hi!,greeting
Hello there,greeting
Hello there!,greeting
Hey there,greeting
Hey there!,greeting
Howdy,greeting
Howdy!,greeting
What's up,greeting
What's up!,greeting
How are you,greeting
How are you!,greeting
How are you doing,greeting
How are you doing!,greeting
Nice to meet you,greeting
Nice to meet you!,greeting
"Hello, how can you help",greeting
"Hello, how can you help!",greeting
"Hi, I need some help",greeting
"Hi, I need some help!",greeting
"Hey, can you assist me",greeting
"Hey, can you assist me!",greeting
Good day,greeting
Good day!,greeting
Hello everyone,greeting
Hello everyone!,greeting
"Hi there, I have a question",greeting
"Hi there, I have a question!",greeting
"Greetings, I need information",greeting
"Greetings, I need information!",greeting
"Hey, good to see you",greeting
"Hey, good to see you!",greeting
"Hello, I'm new here",greeting
"Hello, I'm new here!",greeting
"Hi, I'm looking for college information",greeting
"Hi, I'm looking for college information!",greeting
"Namaste, can you help me",greeting
"Namaste, can you help me!",greeting
"Hello, I want to ask about colleges",greeting
"Hello, I want to ask about colleges!",greeting
"Hey, I need your assistance",greeting
"Hey, I need your assistance!",greeting
"Good morning, I have some questions",greeting
"Good morning, I have some questions!",greeting
"Hello, is anyone there",greeting
"Hello, is anyone there!",greeting
"Hi, I want to know about engineering colleges",greeting
"Hi, I want to know about engineering colleges!",greeting
"Hey, I need guidance",greeting
"Hey, I need guidance!",greeting
"Hello, can you guide me",greeting
"Hello, can you guide me!",greeting
"Greetings, I'm a student",greeting
"Greetings, I'm a student!",greeting
"Hi, I'm interested in engineering",greeting
"Hi, I'm interested in engineering!",greeting
"Hello, I need college recommendations",greeting
"Hello, I need college recommendations!",greeting
"Hey, what's happening",greeting
"Hey, what's happening!",greeting
"Good afternoon, I need some information",greeting
"Good afternoon, I need some information!",greeting
"Hi there, can you help me find a college",greeting
"Hi there, can you help me find a college!",greeting
"Hello, I'm looking for admission information",greeting
"Hello, I'm looking for admission information!",greeting
"Namaste, I need your help",greeting
"Namaste, I need your help!",greeting
"Hi, this is my first time here",greeting
"Hi, this is my first time here!",greeting
"Hello, nice chatbot",greeting
"Hello, nice chatbot!",greeting
"Hey, can we talk",greeting
"Hey, can we talk!",greeting
"Good evening, I have queries",greeting
"Good evening, I have queries!",greeting
"Hello, I'm preparing for admission",greeting
"Hello, I'm preparing for admission!",greeting
"Hi, I want to explore colleges",greeting
"Hi, I want to explore colleges!",greeting
"Greetings, help me please",greeting
"Greetings, help me please!",greeting
"Hello, I'm a +2 graduate",greeting
"Hello, I'm a +2 graduate!",greeting
"Hey, I completed my school",greeting
"Hey, I completed my school!",greeting
Recommend me a good engineering college,recommendation
Recommend me a good engineering college?,recommendation
Which college should I join for computer engineering,recommendation
Which college should I join for computer engineering?,recommendation
Suggest some top colleges in Nepal,recommendation
Suggest some top colleges in Nepal?,recommendation
What is the best college for civil engineering,recommendation
What is the best college for civil engineering?,recommendation
Can you recommend private colleges in Kathmandu,recommendation
Can you recommend private colleges in Kathmandu?,recommendation
Which university is best for mechanical engineering,recommendation
Which university is best for mechanical engineering?,recommendation
Suggest me colleges with good placement,recommendation
Suggest me colleges with good placement?,recommendation
What are the top 5 engineering colleges,recommendation
What are the top 5 engineering colleges?,recommendation
Which college has best faculty for electronics,recommendation
Which college has best faculty for electronics?,recommendation
Recommend colleges with hostel facility,recommendation
Recommend colleges with hostel facility?,recommendation
Best colleges for architecture in Nepal,recommendation
Best colleges for architecture in Nepal?,recommendation
Which private college is best for BBA,recommendation
Which private college is best for BBA?,recommendation
Suggest colleges with good scholarship programs,recommendation
Suggest colleges with good scholarship programs?,recommendation
What is the best public college for engineering,recommendation
What is the best public college for engineering?,recommendation
Recommend me a college in Pokhara,recommendation
Recommend me a college in Pokhara?,recommendation
Which college should I choose for electrical engineering,recommendation
Which college should I choose for electrical engineering?,recommendation
Suggest top IOE affiliated colleges,recommendation
Suggest top IOE affiliated colleges?,recommendation
Best colleges for MBA program,recommendation
Best colleges for MBA program?,recommendation
Which is the best college for IT,recommendation
Which is the best college for IT?,recommendation
Recommend affordable engineering colleges,recommendation
Recommend affordable engineering colleges?,recommendation
What are good colleges for computer science,recommendation
What are good colleges for computer science?,recommendation
Suggest me a college with good infrastructure,recommendation
Suggest me a college with good infrastructure?,recommendation
Which engineering college has best labs,recommendation
Which engineering college has best labs?,recommendation
Recommend colleges near Kathmandu,recommendation
Recommend colleges near Kathmandu?,recommendation
Best colleges for BIM course,recommendation
Best colleges for BIM course?,recommendation
Which college offers best internship opportunities,recommendation
Which college offers best internship opportunities?,recommendation
Suggest colleges with high success rate,recommendation
Suggest colleges with high success rate?,recommendation
What is the best private engineering college,recommendation
What is the best private engineering college?,recommendation
Recommend government colleges for engineering,recommendation
Recommend government colleges for engineering?,recommendation
Which is better for computer engineering,recommendation
Which is better for computer engineering?,recommendation
Suggest me colleges in Lalitpur,recommendation
Suggest me colleges in Lalitpur?,recommendation
Best ranked engineering college in Nepal,recommendation
Best ranked engineering college in Nepal?,recommendation
Which college has best computer engineering program,recommendation
Which college has best computer engineering program?,recommendation
Recommend colleges for students from outside valley,recommendation
Recommend colleges for students from outside valley?,recommendation
What is the top college for civil engineering,recommendation
What is the top college for civil engineering?,recommendation
Suggest colleges with good rating,recommendation
Suggest colleges with good rating?,recommendation
Best engineering college for me,recommendation
Best engineering college for me?,recommendation
Which college should I prefer,recommendation
Which college should I prefer?,recommendation
Recommend me the best option,recommendation
Recommend me the best option?,recommendation
What college do you suggest,recommendation
What college do you suggest?,recommendation
Which is your top pick for engineering,recommendation
Which is your top pick for engineering?,recommendation
Suggest a college with low fee,recommendation
Suggest a college with low fee?,recommendation
Best value for money college,recommendation
Best value for money college?,recommendation
Which college has best outcomes,recommendation
Which college has best outcomes?,recommendation
Recommend based on my marks,recommendation
Recommend based on my marks?,recommendation
