text,intent
"Hello!",Greeting
"Hi there",Greeting
"Good morning",Greeting
"Good afternoon",Greeting
"Good evening",Greeting
"Hey",Greeting
"Hi, how are you?",Greeting
"Hello, can you help me?",Greeting
"Namaste",Greeting
"Greetings",Greeting
"Hey there!",Greeting
"Hi, I need some help",Greeting
"Hello friend",Greeting
"Good day",Greeting
"Where is Sagarmatha Engineering College?",College_location
"Location of Pulchowk Campus",College_location
"What is the address of NCIT?",College_location
"Where can I find Kantipur Engineering College?",College_location
"Address of Thapathali Campus",College_location
"Location of ACE College",College_location
"Where is Himalaya College situated?",College_location
"What is the location of Nepal Engineering College?",College_location
"Where is Islington College?",College_location
"Address of Softwarica College",College_location
"Location of Herald College",College_location
"Where is Apex College located?",College_location
"What is the address of Prime College?",College_location
"Where can I find KUSOM?",College_location
"Location of Western Regional Campus",College_location
"Where is Khwopa Engineering College?",College_location
"What is the fee for computer engineering?",Course_fee
"How much does civil engineering cost?",Course_fee
"Fee structure of Pulchowk Campus",Course_fee
"What are the fees at Sagarmatha College?",Course_fee
"Cost of BBA program",Course_fee
"MBA program fees",Course_fee
"What is the tuition for electrical engineering?",Course_fee
"How expensive is mechanical engineering?",Course_fee
"Fee for architecture course",Course_fee
"What is the cost of BSc CSIT?",Course_fee
"BIM program fees",Course_fee
"How much does BCA cost?",Course_fee
"Electronics engineering fee",Course_fee
"What are the fees for software engineering?",Course_fee
"Cost of information technology program",Course_fee
"What is the fee at NCIT?",Course_fee
"Contact number of Sagarmatha College",College_contact
"Phone number of Pulchowk Campus",College_contact
"Email of NCIT",College_contact
"How can I contact Kantipur College?",College_contact
"Contact details of Thapathali Campus",College_contact
"Phone number of ACE College",College_contact
"Email address of Himalaya College",College_contact
"Contact information for NEC",College_contact
"How to reach Islington College?",College_contact
"Contact of Softwarica College",College_contact
"Phone number of Herald College",College_contact
"Email of Apex College",College_contact
"Contact details of Prime College",College_contact
"How can I call KUSOM?",College_contact
"Phone number of WRC Pokhara",College_contact
"Recommend best engineering colleges",Recommend
"Suggest good colleges for computer engineering",Recommend
"Which college is best for civil engineering?",Recommend
"Recommend colleges in Kathmandu",Recommend
"Suggest affordable engineering colleges",Recommend
"Which college should I choose for BBA?",Recommend
"Recommend top MBA programs",Recommend
"Best colleges for architecture",Recommend
"Suggest colleges with good placement",Recommend
"Which college has best faculty?",Recommend
"Recommend colleges with hostel facility",Recommend
"Suggest colleges under IOE",Recommend
"Which TU affiliated college is best?",Recommend
"Recommend KU affiliated colleges",Recommend
"Suggest colleges near Kathmandu",Recommend
"Best engineering colleges in Nepal",Best
"Top computer engineering colleges",Best
"Best civil engineering programs",Best
"Top ranked colleges in Kathmandu",Best
"Best affordable colleges",Best
"Top BBA colleges in Nepal",Best
"Best MBA programs",Best
"Top architecture colleges",Best
"Best colleges with placement",Best
"Top rated engineering colleges",Best
"Best IOE affiliated colleges",Best
"Top TU colleges",Best
"Best KU affiliated programs",Best
"Top colleges for electronics",Best
"Best mechanical engineering colleges",Best
"What courses are offered at Pulchowk?",Course_list
"List of programs at Sagarmatha College",Course_list
"Available courses at NCIT",Course_list
"What programs does Kantipur offer?",Course_list
"Courses at Thapathali Campus",Course_list
"What degrees are available at ACE?",Course_list
"Programs offered by Himalaya College",Course_list
"What courses can I study at NEC?",Course_list
"Available programs at Islington",Course_list
"Courses at Softwarica College",Course_list
"What programs does Herald offer?",Course_list
"List of courses at Apex College",Course_list
"Available degrees at Prime College",Course_list
"Programs at KUSOM",Course_list
"What courses are at WRC?",Course_list
"Admission process at Pulchowk",Admission_process
"How to apply at Sagarmatha College?",Admission_process
"Application procedure for NCIT",Admission_process
"Admission requirements at Kantipur",Admission_process
"How to get admission at Thapathali?",Admission_process
"Application process at ACE College",Admission_process
"How to join Himalaya College?",Admission_process
"Admission procedure for NEC",Admission_process
"How to apply at Islington?",Admission_process
"Application process at Softwarica",Admission_process
"How to get admission at Herald?",Admission_process
"Admission requirements at Apex",Admission_process
"How to apply at Prime College?",Admission_process
"Admission process at KUSOM",Admission_process
"How to join WRC Pokhara?",Admission_process
"Does Pulchowk have hostel?",Hostel_availability
"Hostel facility at Sagarmatha College",Hostel_availability
"Is hostel available at NCIT?",Hostel_availability
"Accommodation at Kantipur College",Hostel_availability
"Does Thapathali have hostel?",Hostel_availability
"Hostel at ACE College",Hostel_availability
"Is there hostel at Himalaya College?",Hostel_availability
"Accommodation facility at NEC",Hostel_availability
"Does Islington have hostel?",Hostel_availability
"Hostel availability at Softwarica",Hostel_availability
"Is hostel available at Herald?",Hostel_availability
"Accommodation at Apex College",Hostel_availability
"Does Prime College have hostel?",Hostel_availability
"Hostel facility at KUSOM",Hostel_availability
"Is accommodation available at WRC?",Hostel_availability
"What is the cutoff for computer engineering?",Course_cutoff
"Cutoff marks for civil engineering",Course_cutoff
"Entrance cutoff at Pulchowk",Course_cutoff
"What marks are needed for electrical?",Course_cutoff
"Cutoff for mechanical engineering",Course_cutoff
"Required marks for architecture",Course_cutoff
"What is the cutoff at IOE?",Course_cutoff
"Entrance marks needed for electronics",Course_cutoff
"Cutoff for software engineering",Course_cutoff
"What marks for BBA admission?",Course_cutoff
"MBA entrance cutoff",Course_cutoff
"Cutoff marks at Sagarmatha College",Course_cutoff
"Required score for NCIT",Course_cutoff
"What is the cutoff at Kantipur?",Course_cutoff
"Entrance cutoff at Thapathali",Course_cutoff
"How many seats in computer engineering?",Course_seats
"Number of seats for civil engineering",Course_seats
"Total seats at Pulchowk Campus",Course_seats
"How many students in electrical?",Course_seats
"Seats available for mechanical",Course_seats
"Number of seats in architecture",Course_seats
"How many seats at IOE?",Course_seats
"Total intake for electronics",Course_seats
"Seats for software engineering",Course_seats
"How many BBA seats?",Course_seats
"MBA seats available",Course_seats
"Number of seats at Sagarmatha",Course_seats
"How many seats at NCIT?",Course_seats
"Total seats at Kantipur College",Course_seats
"Number of seats at Thapathali",Course_seats
"Scholarship at Pulchowk Campus",Scholarship_info
"Scholarship opportunities at Sagarmatha",Scholarship_info
"Does NCIT offer scholarship?",Scholarship_info
"Financial aid at Kantipur College",Scholarship_info
"Scholarship at Thapathali Campus",Scholarship_info
"Are there scholarships at ACE?",Scholarship_info
"Scholarship programs at Himalaya",Scholarship_info
"Financial assistance at NEC",Scholarship_info
"Does Islington offer scholarship?",Scholarship_info
"Scholarship at Softwarica College",Scholarship_info
